section_id,section_code,from_station_code,from_station_name,to_station_code,to_station_name,daily_train_count,criticality_score,last_computed_at
72,HLDR_ARH,HLDR,HALDAUR,ARH,AMHERA  HALT,2,0.2074,2026-09-01 07:15:16.854274
73,GJS_SRW,GJS,GAJSINGHPUR,SRW,SHRI KARANPU,2,0.2074,2026-09-01 07:15:16.854274
74,PUNE_URI,PUNE,PUNE JN.,URI,URULI,7,0.3925,2026-09-01 07:15:16.854274
75,PLP_JNH,PLP,PHULPUR,JNH,JANGHAI JN.,4,0.3038,2026-09-01 07:15:16.854274
76,JP_BKI,JP,JAIPUR JN.,BKI,BANDIKUI JN.,2,0.2074,2026-09-01 07:15:16.854274
77,MAU_AMH,MAU,MAU JN.,AMH,AZAMGARH,2,0.2074,2026-09-01 07:15:16.854274
78,JAG_KSY,JAG,JALALGARH,KSY,KUSIARGAON,2,0.2074,2026-09-01 07:15:16.854274
79,SPSR_GHNH,SPSR,SARPESWAR P.,GHNH,GHANTIKAL NI,2,0.2074,2026-09-01 07:15:16.854274
80,LPN_KWM,LPN,LAOPANI,KWM,KAMPUR,1,0.1308,2026-09-01 07:15:16.854274
81,LSE_SURP,LSE,LASERI  HALT,SURP,SURATPURA JN,2,0.2074,2026-09-01 07:15:16.854274
82,NEM_TVC,NEM,NEMAM,TVC,TRIVANDRUM C,6,0.3673,2026-09-01 07:15:16.854274
83,OGL_KVZ,OGL,ONGOLE,KVZ,KAVALI,11,0.469,2026-09-01 07:15:16.854274
84,LSGS_NDKR,LSGS,LAVAN SATYAG,NDKR,NANDHAKUMARP,3,0.2616,2026-09-01 07:15:16.854274
85,SHV_HSD,SHV,SHIVANI,HSD,HOSDURGA ROA,5,0.3382,2026-09-01 07:15:16.854274
86,PNF_MRTY,PNF,PANGAON,MRTY,MURTI HALT,4,0.3038,2026-09-01 07:15:16.854274
87,AGC_AGA,AGC,AGRA CANTT,AGA,AGRA CITY,1,0.1308,2026-09-01 07:15:16.854274
88,LGCE_STA,LGCE,LAGARGAWAN,STA,SATNA,3,0.2616,2026-09-01 07:15:16.854274
89,RDL_PTH,RDL,RUDAULI,PTH,PATRANGA,1,0.1308,2026-09-01 07:15:16.854274
90,NLP_SOB,NLP,NORTH LAKHIM,SOB,SILANIBARI,3,0.2616,2026-09-01 07:15:16.854274
91,CKM_JGN,CKM,CHAUKI MAN,JGN,JAGRAON,5,0.3382,2026-09-01 07:15:16.854274
92,KDBA_BAJE,KDBA,KODIMBALA,BAJE,BAJAKARE,1,0.1308,2026-09-01 07:15:16.854274
93,MURI_CNI,MURI,MURI,CNI,CHANDIL JN.,1,0.1308,2026-09-01 07:15:16.854274
94,NMK_MADA,NMK,NIM-KA-THANA,MADA,MAONDA,3,0.2616,2026-09-01 07:15:16.854274
95,DMV_BXJ,DMV,DIMAPUR,BXJ,BOKAJAN,8,0.4147,2026-09-01 07:15:16.854274
96,JRC_PGW,JRC,JALANDHAR CA,PGW,PHAGWARA JN.,23,0.5998,2026-09-01 07:15:16.854274
97,KTYM_ERN,KTYM,KOTTAYAM,ERN,ERNAKULAM TO,37,0.6866,2026-09-01 07:15:16.854274
98,HAN_SMBJ,HAN,HINDAUN CITY,SMBJ,SHRI MAHABIR,14,0.5111,2026-09-01 07:15:16.854274
99,SDF_BLSR,SDF,SUDSAR,BLSR,BELASAR  HAL,4,0.3038,2026-09-01 07:15:16.854274
100,MINJ_SCC,MINJ,MAIKALGANJ,SCC,SITAPUR CANT,2,0.2074,2026-09-01 07:15:16.854274
101,JDL_JMS,JDL,JAGDEVWALA,JMS,JAMSAR,3,0.2616,2026-09-01 07:15:16.854274
102,BMKI_JDR,BMKI,BAPUDHAM MOT,JDR,JIWDHARA,3,0.2616,2026-09-01 07:15:16.854274
103,GNQ_BWRA,GNQ,GODHANI,BWRA,BHARATWADA,2,0.2074,2026-09-01 07:15:16.854274
104,GRBL_GTLM,GRBL,GARUDABILLI,GTLM,GOTLAM,4,0.3038,2026-09-01 07:15:16.854274
105,KHED_DWV,KHED,KHED,DWV,DIWAN KHAVAT,2,0.2074,2026-09-01 07:15:16.854274
106,HW_JWP,HW,HARIDWAR JN,JWP,JWALAPUR,11,0.469,2026-09-01 07:15:16.854274
107,BRJN_JSG,BRJN,BRAJARAJNAGA,JSG,JHARSUGUDA J,9,0.4346,2026-09-01 07:15:16.854274
108,HNG_FZD,HNG,HIRANGAON,FZD,FIROZABAD,4,0.3038,2026-09-01 07:15:16.854274
109,GRA_BZJT,GRA,GHARAUNDA,BZJT,BAZIDA JATAN,6,0.3673,2026-09-01 07:15:16.854274
110,MYA_Y,MYA,MANDYA,Y,YELIYUR,5,0.3382,2026-09-01 07:15:16.854274
